Job_Title,Company_Name,education,location,Date
Sr. Analyst Analytics Data Science,For a client of TeamLease Services Ltd,BSc,Mumbai,14 days ago
C DEVELOPER,TRADEPATH CAPITAL LLC,"B.Com, BA, BBA/BBM, BCA, BE/B.Tech(IT), BEd, BSc, BVSc...",Mumbai,1 months ago
Research Associate,Parantapa Sciences Private Limited,"Certificate Course (ITI), Diploma, M Phil / Ph.D, B.Com, M.Com, MA, BBA/BBM, BCA...","Mumbai, Nagpur",13 days ago
Sr. Analyst Analytics Data Science,For a client of TeamLease Services Ltd,BSc,Mumbai,14 days ago
C DEVELOPER,TRADEPATH CAPITAL LLC,"B.Com, BA, BBA/BBM, BCA, BE/B.Tech(IT), BEd, BSc, BVSc...",Mumbai,1 months ago
Research Associate,Parantapa Sciences Private Limited,"Certificate Course (ITI), Diploma, M Phil / Ph.D, B.Com, M.Com, MA, BBA/BBM, BCA...","Mumbai, Nagpur",13 days ago
Sr. Analyst Analytics Data Science,For a client of TeamLease Services Ltd,BSc,Mumbai,14 days ago
C DEVELOPER,TRADEPATH CAPITAL LLC,"B.Com, BA, BBA/BBM, BCA, BE/B.Tech(IT), BEd, BSc, BVSc...",Mumbai,1 months ago
Research Associate,Parantapa Sciences Private Limited,"Certificate Course (ITI), Diploma, M Phil / Ph.D, B.Com, M.Com, MA, BBA/BBM, BCA...","Mumbai, Nagpur",13 days ago
Sr. Analyst Analytics Data Science,For a client of TeamLease Services Ltd,BSc,Mumbai,14 days ago
C DEVELOPER,TRADEPATH CAPITAL LLC,"B.Com, BA, BBA/BBM, BCA, BE/B.Tech(IT), BEd, BSc, BVSc...",Mumbai,1 months ago
Research Associate,Parantapa Sciences Private Limited,"Certificate Course (ITI), Diploma, M Phil / Ph.D, B.Com, M.Com, MA, BBA/BBM, BCA...","Mumbai, Nagpur",13 days ago
